cuvette + 1500ul h2o,,
Wavelength (nm),Abs,
400.0725403,0.2108589858,
398.9899292,0.2062927932,
398.0617981,0.2025468946,
396.9788513,0.2018345743,
396.050415,0.2072033733,
394.9671021,0.2131403983,
394.0383911,0.2103610486,
392.9547424,0.2180294842,
392.0257263,0.2064165622,
390.9417114,0.2051358968,
390.0124207,0.2165284157,
388.9280701,0.2081720233,
387.9984741,0.2068133801,
387.0687561,0.2221678048,
385.9838867,0.2142333239,
385.053894,0.2066732049,
383.968689,0.2066944987,
383.0383911,0.2115459442,
381.9528809,0.2141310871,
381.0222778,0.2062826306,
379.9364319,0.2042254061,
379.0055542,0.214396745,
378.0745239,0.2096705437,
376.9881897,0.2137239724,
376.0568848,0.2107973695,
374.9702148,0.2166070938,
374.0386353,0.2026872784,
372.9516296,0.2120265216,
372.0197754,0.220206663,
370.9324646,0.2116879076,
370.0003357,0.2191258371,
369.0680542,0.2063186765,
367.9802551,0.2154379487,
367.0477295,0.2083450109,
365.9595947,0.2207681239,
365.0267639,0.2089834362,
363.938324,0.213359341,
363.005249,0.2045900822,
362.0720215,0.2150247693,
360.9831238,0.2058829367,
360.0496216,0.2189557552,
358.9604187,0.2065719813,
358.0266418,0.2128588706,
356.9371033,0.2148047388,
356.0030823,0.2099637538,
355.0689392,0.2061563283,
353.9789429,0.2192908078,
353.0445251,0.2248916477,
351.9542236,0.2116883844,
351.0195313,0.2121430784,
349.9289246,0.2193024755,
348.993988,0.21495381,
348.0588989,0.2137479782,
346.967865,0.2183465362,
346.0325317,0.2171997279,
344.9411621,0.2124263048,
344.0055847,0.2208668739,
343.0698547,0.2254726142,
341.9780579,0.2097646892,
341.0421143,0.2182122171,
339.9500122,0.2053353786,
339.0137939,0.2172220647,
338.0774536,0.2193569094,
336.9848938,0.2127283514,
336.0483093,0.2216846049,
334.9554749,0.2035931349,
334.0186462,0.220528096,
332.9255066,0.2197451144,
331.9884338,0.2100663185,
331.0512085,0.2073458135,
329.9576721,0.213701576,
329.0202026,0.2110234946,
327.9263611,0.2164154053,
326.988678,0.2111938298,
326.0508423,0.2235395312,
324.956604,0.2116775066,
324.0185242,0.2174051404,
322.9239807,0.2354260236,
321.9856873,0.2262029797,
321.0472717,0.2139327824,
319.952301,0.2154282629,
319.0136719,0.2250851244,
318.0748901,0.2210321128,
316.9795227,0.2230350226,
316.0405273,0.2136323899,
314.9448853,0.22943829,
314.0056458,0.2250554711,
313.0662842,0.2247546911,
311.9702454,0.2293864042,
311.0306702,0.2242673784,
309.9343567,0.2300114781,
308.9945374,0.2240035981,
308.0545959,0.2140436172,
306.9578857,0.2252217978,
306.0177307,0.221303612,
305.0774536,0.2199914604,
303.9803467,0.2193139642,
303.039856,0.2274925411,
301.9425049,0.2327703089,
301.00177,0.2340099663,
300.0609436,0.2272873372,
298.9631958,0.2173714042,
298.0221558,0.228143692,
296.9241333,0.2181993872,
295.9828491,0.2320632339,
295.0415039,0.2376260906,
293.9430847,0.2176363915,
293.0014954,0.2165992856,
292.0598145,0.2240917981,
290.9610291,0.2169998437,
290.019104,0.2221583128,
289.0770874,0.2339521945,
287.9779358,0.2256713063,
287.0357056,0.229365021,
285.9363098,0.2315810323,
284.993866,0.2305949777,
284.0513306,0.2287040055,
282.9515686,0.2297443151,
282.0088196,0.2620992064,
281.0659485,0.2237199098,
279.9658203,0.2381517887,
279.0227661,0.2350529432,
277.9223938,0.238418445,
276.9790955,0.2383609414,
276.0357361,0.2272082269,
274.9350281,0.2360607088,
273.9914246,0.2227690965,
273.04776,0.2341726422,
271.9466858,0.2358983457,
271.0028076,0.2358594388,
270.0588379,0.2219247967,
268.9573975,0.2433217913,
268.0132446,0.2426683605,
267.0689697,0.2394468635,
265.9671936,0.2334574759,
265.0227356,0.2371448278,
264.078186,0.229418233,
262.9760742,0.2320395112,
262.031311,0.234752208,
260.9289856,0.2468348593,
259.9840088,0.2446756959,
259.0389709,0.2402753085,
257.9363098,0.2306077927,
256.9910583,0.2353258431,
256.0457458,0.2389986366,
254.942749,0.2327734828,
253.9972229,0.2355105579,
253.0516052,0.2339325398,
251.948288,0.2378090322,
251.0024872,0.225127846,
250.0566101,0.2382945716,
248.9592133,0.2367960811,
248.0187836,0.2400398254,
247.0782623,0.2508569062,
245.9808807,0.2411372662,
245.0401917,0.2452472299,
243.9425964,0.2385665476,
243.001709,0.2490539551,
242.0607452,0.2505065203,
240.9628448,0.2485414743,
240.021698,0.2466019541,
238.9235992,0.2542313635,
237.9822693,0.2553979456,
237.040863,0.2552362382,
235.9424591,0.2516347468,
235.0008698,0.2688033283,
234.0592041,0.2568126917,
232.960495,0.2599785328,
232.0186615,0.2635896206,
231.0767365,0.2662045956,
229.9777374,0.2644580901,
229.0356445,0.2696020603,
227.9364319,0.278939575,
226.9941711,0.2833615839,
226.0518341,0.2814233303,
224.9523468,0.274640739,
224.0098419,0.2677767575,
223.0672455,0.2778927386,
221.9674683,0.2784997821,
221.0247192,0.2910666764,
219.9247437,0.3023757339,
218.9818268,0.2872297764,
218.0388489,0.3045426011,
216.9385986,0.2890254557,
215.9954376,0.2991775274,
215.0522156,0.298186779,
213.9516907,0.3184971213,
213.0083008,0.3135104179,
212.0648346,0.3240123391,
210.9640503,0.321690172,
210.0204315,0.3330755234,
209.0767365,0.3209534883,
207.9756775,0.3348958492,
207.0318298,0.3476428092,
205.9305878,0.3493747115,
204.9865875,0.3680554032,
204.042511,0.3772314191,
202.9410095,0.3766820133,
201.9967957,0.3894101977,
201.0525055,0.3900502026,
199.9501343,0.4025501013,

cuvette + 1500ul h2o,
cuvette + 1500ul h2o
Collection Time: 05/04/2024 07:06:22
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        400.0
Stop (nm)                         200.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         4800.00
UV-Vis Data Interval (nm)         1.00
UV-Vis Ave. Time (sec)            0.0125
Beam Mode                         Dual Beam
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-04-05-RTG3-3-big-cuvette-measurements-1000ul.BSW
Baseline Std Ref File Name
Cycle Mode                        Off
Accessory                         Cell changer
Comments
Method Log     :
Method Name    : C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\RTG-method.MSW
Date/Time stamp: 28/03/2024 13:03:44
Method Modifications:
UVVIS SAT Changed: 19/03/2024 12:25:20, Old:0.0125, New:0.1000
Common SAT Changed: 19/03/2024 12:25:20, Old:0.0125, New:0.1000
X Start nm Changed: 19/03/2024 12:25:24, Old:  800.0, New:  400.0
Common Interval nm Changed: 19/03/2024 12:25:24, Old:     5.00, New:     0.50
Select Cells Changed: 19/03/2024 12:25:24, Old:1, New:0
Baseline Correction Changed: 19/03/2024 12:26:24, Old:0, New:1
Cell Changer Changed: 19/03/2024 12:26:24, Old:OFF, New:ON
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-19.BSW
Baseline file Changed: 19/03/2024 12:27:31, Old:, New:C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-19.BSW
Select Cells Changed: 19/03/2024 12:27:42, Old:0, New:1
Cell2 Changed: 19/03/2024 12:27:42, Old:ON, New:OFF
Cell3 Changed: 19/03/2024 12:27:42, Old:ON, New:OFF
Cell4 Changed: 19/03/2024 12:27:42, Old:ON, New:OFF
Cell5 Changed: 19/03/2024 12:27:42, Old:ON, New:OFF
Cell6 Changed: 19/03/2024 12:27:42, Old:ON, New:OFF
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-20.BSW
Common Interval nm Changed: 19/03/2024 12:29:15, Old:     0.50, New:     1.00
Overlayed Graphs Changed: 19/03/2024 12:29:15, Old:1, New:0
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-21.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-22.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-19-x4-pure.BSW
Opened C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-19-x4-pure.BSW
Autoconvert Changed: 25/03/2024 08:13:08, Old:None, New:Ascii with Log
Baseline file Changed: 25/03/2024 08:13:35, Old:C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-19-x4-pure.BSW, New:
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG2.BSW
UVVIS SAT Changed: 25/03/2024 08:17:29, Old:0.1000, New:0.0125
Common SAT Changed: 25/03/2024 08:17:29, Old:0.1000, New:0.0125
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-200uLwater.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-400uLwater.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-600uLwater.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-800uLwater.BSW
Baseline file Changed: 25/03/2024 08:22:27, Old:C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-800uLwater.BSW, New:
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-800uLwater-against-water-baseline.BSW
UVVIS SAT Changed: 25/03/2024 08:24:12, Old:0.0125, New:0.1000
Common SAT Changed: 25/03/2024 08:24:12, Old:0.0125, New:0.1000
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-800uLwater-against-water-baseline2.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-500uLwater-5uL-x4.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-500uLwater-10uL-x4.BSW
Opened C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-500uLwater-10uL-x4.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-water-again.BSW
Baseline file Changed: 25/03/2024 09:08:20, Old:C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-water-again.BSW, New:
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-water-again.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-x2.BSW
Baseline file Changed: 25/03/2024 09:15:51, Old:C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-x2.BSW, New:
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-x2-baseline.BSW
Opened C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-x2-baseline.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-x2-baseline.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-x8.BSW
Opened C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-03-25-RTG1-x8.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\RTG-method.MSW
Opened C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\RTG-method.MSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-04-05-RTG3-1-big-cuvette-measurements.BSW
Baseline file Changed: 05/04/2024 07:03:49, Old:C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-04-05-RTG3-1-big-cuvette-measurements.BSW, New:
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-04-05-RTG3-1-big-cuvette-measurements.BSW
Saved as C:\Dokumente und Einstellungen\Cary\Eigene Dateien\Robert\2024-04-05-RTG3-1-big-cuvette-measurements-500ul.BSW
