cuvette + x12 (h2o 40ul x2 600uL x11 enz ldh 40ul x4),,
Wavelength (nm),Abs,
400.0725403,0.01311589032,
398.9899292,0.01307752635,
398.0617981,0.01337668207,
396.9788513,0.01320970617,
396.050415,0.01343314722,
394.9671021,0.01375921257,
394.0383911,0.01385837886,
392.9547424,0.01402964257,
392.0257263,0.01431642566,
390.9417114,0.0145017067,
390.0124207,0.01469151117,
388.9280701,0.01517383847,
387.9984741,0.01517850254,
387.0687561,0.01536136307,
385.9838867,0.0157998167,
385.053894,0.0162222404,
383.968689,0.01671509631,
383.0383911,0.01739599928,
381.9528809,0.01759524271,
381.0222778,0.01775148138,
379.9364319,0.01847936213,
379.0055542,0.01898692921,
378.0745239,0.01956188865,
376.9881897,0.02052904852,
376.0568848,0.02107939497,
374.9702148,0.02211599052,
374.0386353,0.02272890508,
372.9516296,0.02331435867,
372.0197754,0.02455627918,
370.9324646,0.02544772811,
370.0003357,0.02592470869,
369.0680542,0.02703523263,
367.9802551,0.02780341543,
367.0477295,0.02891740389,
365.9595947,0.02936713398,
365.0267639,0.03053296544,
363.938324,0.03132113814,
363.005249,0.03198427707,
362.0720215,0.03342328593,
360.9831238,0.03367463499,
360.0496216,0.03460809216,
358.9604187,0.03547074273,
358.0266418,0.03646879271,
356.9371033,0.03746792674,
356.0030823,0.03821477666,
355.0689392,0.03910088912,
353.9789429,0.04003780335,
353.0445251,0.04101222008,
351.9542236,0.04131018743,
351.0195313,0.04172529653,
349.9289246,0.0426453948,
348.993988,0.04326337576,
348.0588989,0.04354329035,
346.967865,0.04445896298,
346.0325317,0.04474097118,
344.9411621,0.04509776831,
344.0055847,0.04606919363,
343.0698547,0.04635423794,
341.9780579,0.04694126919,
341.0421143,0.04729566351,
339.9500122,0.04758024216,
339.0137939,0.0481110625,
338.0774536,0.04852968827,
336.9848938,0.04842456803,
336.0483093,0.04898429662,
334.9554749,0.04907030612,
334.0186462,0.04958000034,
332.9255066,0.04990679026,
331.9884338,0.04978261143,
331.0512085,0.04985025898,
329.9576721,0.05040929839,
329.0202026,0.05033496767,
327.9263611,0.05046759173,
326.988678,0.05079205334,
326.0508423,0.05041883513,
324.956604,0.05053482205,
324.0185242,0.05054078251,
322.9239807,0.05086259171,
321.9856873,0.05073892698,
321.0472717,0.05077593401,
319.952301,0.05061421916,
319.0136719,0.05111014843,
318.0748901,0.05066142604,
316.9795227,0.05101293325,
316.0405273,0.0510321483,
314.9448853,0.05266151577,
314.0056458,0.05176596344,
313.0662842,0.05249883235,
311.9702454,0.05314177275,
311.0306702,0.05358375236,
309.9343567,0.05452400446,
308.9945374,0.05586263165,
308.0545959,0.05862663314,
306.9578857,0.05922323093,
306.0177307,0.06078291312,
305.0774536,0.06353766471,
303.9803467,0.0669593215,
303.039856,0.07076495141,
301.9425049,0.07535998523,
301.00177,0.08004442602,
300.0609436,0.0857790783,
298.9631958,0.0941817984,
298.0221558,0.1015601158,
296.9241333,0.1110243276,
295.9828491,0.1199213415,
295.0415039,0.1298617125,
293.9430847,0.147945255,
